Folder,File Name,Class Name,Class Parameters (Inheritance),Class Responsibility / Purpose,Dependencies (General)
tests/,conftest.py,MockLLMGateway,None,N/A (Missing Docstring),N/A (See Imports)
src\drawing_intelligence\cli/,config_validator.py,ValidationResult,None,Result from configuration validation.,N/A (See Imports)
src\drawing_intelligence\cli/,config_validator.py,ConfigValidator,None,Validate system configuration.,N/A (See Imports)
src\drawing_intelligence\database/,database_manager.py,DatabaseManager,None,Manages all database operations.,N/A (See Imports)
src\drawing_intelligence\database/,query_filters.py,QueryFilters,None,Filters for drawing queries.,N/A (See Imports)
src\drawing_intelligence\export/,csv_exporter.py,CSVExporter,None,Export drawing results to CSV format.,N/A (See Imports)
src\drawing_intelligence\export/,export_manager.py,ExportConfig,None,Configuration for export operations.,N/A (See Imports)
src\drawing_intelligence\export/,export_manager.py,ExportManager,None,Manages all export operations.,N/A (See Imports)
src\drawing_intelligence\export/,json_exporter.py,JSONExporter,None,Export drawing results to JSON format.,N/A (See Imports)
src\drawing_intelligence\export/,report_generator.py,ReportGenerator,None,Generate visual reports (HTML/PDF).,N/A (See Imports)
src\drawing_intelligence\llm/,budget_controller.py,UseCaseType,Inherits: Enum,N/A (Missing Docstring),N/A (See Imports)
src\drawing_intelligence\llm/,budget_controller.py,UseCaseModelConfig,None,Model configuration for a specific use case with tier fallbacks,N/A (See Imports)
src\drawing_intelligence\llm/,budget_controller.py,BudgetController,None,Manages LLM budget with automatic model step-down.,N/A (See Imports)
src\drawing_intelligence\llm/,cost_tracker.py,CostTracker,None,Track and report LLM API costs.,N/A (See Imports)
src\drawing_intelligence\llm/,llm_gateway.py,LLMConfig,None,Configuration for LLM gateway.,N/A (See Imports)
src\drawing_intelligence\llm/,llm_gateway.py,LLMGateway,None,Unified interface to multiple LLM providers.,N/A (See Imports)
src\drawing_intelligence\llm/,prompt_library.py,PromptTemplate,None,Prompt template definition.,N/A (See Imports)
src\drawing_intelligence\llm/,prompt_library.py,PromptLibrary,None,Manage versioned prompts for different use cases.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,EntityType,Inherits: Enum,Types of entities that can be extracted.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,ProcessingStage,Inherits: Enum,Processing pipeline stages.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,PipelineType,Inherits: Enum,Type of processing pipeline.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,Priority,Inherits: Enum,Drawing processing priority.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,FlagType,Inherits: Enum,Types of review flags.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,Severity,Inherits: Enum,Severity levels for issues.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,PDFPage,None,Represents a single PDF page.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,QualityMetrics,None,Image quality assessment metrics.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,TextBlock,None,Single OCR text block.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,LayoutRegion,None,Classified layout region.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,OCRResult,None,Complete OCR extraction result.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,Entity,None,Extracted entity with metadata.,N/A (See Imports)
